Rk,Name,Team,Pos.,Yr,GP,G,A,PTS,Pt/Gm,PIM,Shots,GWG,PPG,SHG,+/-,Blk,FW,FL,FO%
,JR Perdion,Long Island,F,So,30,9,12,21,0.7,27,66,1,1,2,-1,20,118,133,47
,Jack Galanek,Massachusetts,F,Fr,30,4,17,21,0.7,18,48,0,0,0,3,25,328,329,49.9
,Jake Sondreal,Boston College,F,So,30,7,14,21,0.7,10,58,2,0,0,9,11,116,130,47.2
,Jake Southgate,Lindenwood,F,Jr,28,8,13,21,0.75,16,93,0,2,0,-1,10,1,5,16.7
,David Chen,Yale,F,Sr,28,6,15,21,0.75,14,55,2,1,0,-7,16,198,228,46.5
,Matt DeBoer,Holy Cross,F,Sr,28,12,9,21,0.75,24,81,4,6,0,7,19,4,7,36.4
,David Deputy,Miami,F,Fr,27,15,6,21,0.78,16,88,3,4,2,-2,13,2,5,28.6
,Rylen Roersma,Alaska,F,Fr,27,9,12,21,0.78,32,42,2,1,0,3,19,192,205,48.4
209,Noah Reinhart,Michigan Tech,F,Fr,34,8,12,20,0.59,6,70,1,2,0,12,10,6,9,40
,Kyle Smolen,Arizona State,F,Jr,33,7,13,20,0.61,18,53,0,3,0,-8,26,216,230,48.4
,Klavs Veinbergs,Colorado College,F,Jr,32,10,10,20,0.63,30,69,1,4,0,-3,6,396,251,61.2
,Elias Jansson,Michigan Tech,F,So,32,7,13,20,0.63,8,52,1,1,0,3,11,161,182,46.9
,Remi Gelinas,Clarkson,F,Fr,32,7,13,20,0.63,22,40,1,0,0,4,10,24,21,53.3
,Maximilion Helgeson,Miami,F,Gr,32,10,10,20,0.63,12,64,1,0,0,13,19,97,162,37.5
,Oliver Tarr,Canisius,F,Sr,32,8,12,20,0.63,6,72,0,0,0,2,6,8,5,61.5
,Nick Pierre,Merrimack,F,So,31,12,8,20,0.65,25,95,4,6,0,-8,14,4,7,36.4
,Luciano Wilson,RPI,F,Sr,31,6,14,20,0.65,21,59,2,1,0,-14,10,1,2,33.3
,Julius Sumpf,Providence,F,Fr,31,3,17,20,0.65,6,68,0,0,0,9,20,114,82,58.2
,Nick Ring,New Hampshire,F,Jr,30,8,12,20,0.67,8,56,1,4,0,-6,15,14,23,37.8
,Riley Thompson,Ohio State,F,So,30,9,11,20,0.67,45,92,1,6,0,-6,21,189,182,50.9
,Colin Kessler,Vermont,F,So,30,6,14,20,0.67,12,93,2,0,1,0,5,62,108,36.5
,Francesco Dell'Elce,Massachusetts,D,So,30,4,16,20,0.67,14,69,3,1,0,10,35,0,0,
,Miguel Marques,Maine,F,Fr,29,9,11,20,0.69,14,42,1,2,0,12,5,2,2,50
,Brendan Gorman,Princeton,F,Sr,28,12,8,20,0.71,16,65,0,5,1,0,12,202,248,44.9
,Donovan Frias,Yale,F,So,28,6,14,20,0.71,22,63,1,0,0,5,10,188,288,39.5
,Owen Baumgartner,Augustana,D,Jr,28,4,16,20,0.71,18,67,2,0,1,10,21,1,1,50
,Aiden Long,Cornell,F,Fr,27,9,11,20,0.74,16,60,0,0,0,18,15,7,18,28
,Cole Eiserman,Boston University,F,So,27,13,7,20,0.74,8,96,1,5,0,-10,10,1,0,100
,Matteo Giampa,Miami,F,Jr,25,9,11,20,0.8,28,62,4,2,0,7,6,0,2,0
,Andre Gasseau,Boston College,F,Sr,17,6,14,20,1.18,6,28,0,3,0,4,12,132,148,47.1
231,Easton Young,Augustana,D,So,34,6,13,19,0.56,10,48,2,2,0,4,20,0,0,
,Cole Burtch,Augustana,F,Jr,34,5,14,19,0.56,39,46,1,0,1,-1,13,173,217,44.4
,Elliott Groenewold,Quinnipiac,D,So,34,6,13,19,0.56,18,68,3,1,0,38,39,0,0,
,Kyle Chyzowski,Denver,F,Fr,33,8,11,19,0.58,9,83,1,3,0,-3,10,72,83,46.5
,Cameron Garvey,Robert Morris,F,Jr,32,8,11,19,0.59,20,78,2,2,1,-7,23,231,197,54
,Matthew Romer,Stonehill,F,Jr,32,14,5,19,0.59,10,73,2,5,0,-16,22,3,11,21.4
,Spencer Young,Niagara,F,So,32,9,10,19,0.59,23,86,0,4,1,-1,15,205,234,46.7
,Adam Barone,Lake Superior,D,So,32,4,15,19,0.59,20,43,1,0,0,-8,25,0,0,
,Oliver Tulk,Wisconsin,F,Fr,32,5,14,19,0.59,16,51,0,1,0,3,15,172,138,55.5
,Nik Hong,Army,F,Jr,32,9,10,19,0.59,29,60,3,3,0,-1,23,279,338,45.2
,Jacob Maillet,Niagara,F,So,32,6,13,19,0.59,8,62,1,3,0,6,10,288,247,53.8
,Etienne Lessard,Union,D,Fr,32,3,16,19,0.59,28,61,0,2,0,5,17,0,1,0
,Brendan Gibbons,Air Force,F,Jr,32,6,13,19,0.59,12,85,0,1,0,0,13,2,6,25
,Garrett Schifsky,Michigan,F,Jr,32,10,9,19,0.59,50,72,0,0,1,14,15,20,17,54.1
,Gavin Lindberg,Colorado College,F,So,32,6,13,19,0.59,6,74,1,1,0,7,9,56,49,53.3
,Dominik Rymon,Bowling Green,F,Fr,32,9,10,19,0.59,14,61,1,2,1,1,13,7,5,58.3
,Simon Tassy,Wisconsin,F,Sr,32,10,9,19,0.59,28,69,0,3,0,1,11,2,3,40
